intensity/q,density/k,velocity/u
0.696038634,0.06,11.6006439
6.033432042,0.35,17.23837726
8.579756484,0.5,17.15951297
8.579756484,0.5,17.15951297
10.04268706,0.5,20.08537412
8.576277966,0.5,17.15255593
8.576277966,0.5,17.15255593
5.69718612,0.33,17.26420036
18.12904321,0.355,51.06772734
4.448488302,0.5,8.896976604
4.448488284,0.5,8.896976568
4.448488302,0.5,8.896976604
4.525491906,0.31,14.59836099
0.567166374,0.035,16.20475354
12.37524869,0.5,24.75049738
7.681960206,0.5,15.36392041
7.681960206,0.5,15.36392041
3.60612774,0.5,7.21225548
4.087536786,0.195,20.96172711
4.437545616,0.29,15.30188143
7.657482636,0.5,15.31496527
7.168663746,0.895,8.009680163
13.3176611,1,13.3176611
16.35043516,1,16.35043516
11.7619571,0.865,13.59763826
5.12380224,0.5,10.24760448
10.67243018,0.735,14.52031318
9.40149774,0.5,18.80299548
9.473115996,0.5,18.94623199
10.11768028,0.5,20.23536056
9.01567125,0.475,18.98036053
9.34108551,0.5,18.68217102
6.843756096,0.5,13.68751219
3.665336814,0.5,7.330673628
3.665336814,0.5,7.330673628
3.722478336,0.5,7.444956672
3.608646066,0.325,11.10352636
7.501352526,0.5,15.00270505
7.501352526,0.5,15.00270505
7.501352508,0.5,15.00270502
12.15135976,0.435,27.93416036
3.93587343,0.37,10.63749576
5.336257716,0.5,10.67251543
5.336257734,0.5,10.67251547
5.336257716,0.5,10.67251543
5.336257734,0.5,10.67251547
25.52605126,0.96,26.58963673
7.981465356,0.595,13.41422749
3.643122852,0.5,7.286245704
8.043153714,0.855,9.407197326
9.879926166,1,9.879926166
8.99501544,0.71,12.66903583
13.26483994,1,13.26483994
13.26483995,1,13.26483995
13.26483994,1,13.26483994
8.07463575,0.575,14.04284478
4.583821878,0.5,9.167643756
3.755731464,0.51,7.364179341
10.17229354,1,10.17229354
6.156885096,0.66,9.328613782
4.30728246,0.5,8.61456492
4.30728246,0.5,8.61456492
4.30728246,0.5,8.61456492
5.194794942,0.5,10.38958988
9.163474758,0.27,33.9387954
3.611855052,0.41,8.809402566
5.615265078,0.5,11.23053016
5.61526506,0.5,11.23053012
7.16343462,0.645,11.10610019
11.03101054,1,11.03101054
8.09185338,1,8.09185338
13.20509444,0.74,17.84472222
16.84771074,1,16.84771074
3.959329464,1,3.959329464
4.019203188,1,4.019203188
9.429086286,0.82,11.49888571
6.642126054,0.62,10.71310654
13.85917666,1,13.85917666
16.89357564,1.195,14.13688338
6.785272836,1.04,6.524300804
19.65642631,1,19.65642631
15.41720808,1,15.41720808
9.041923476,1,9.041923476
3.115183086,0.13,23.96294682
1.849975218,0.16,11.56234511
5.727001266,0.5,11.45400253
9.269182152,0.5,18.5383643
4.502545938,0.5,9.005091876
3.855670416,0.5,7.711340832
11.88391221,0.69,17.22306117
9.42493563,0.655,14.3892147
6.943246416,0.5,13.88649283
6.176737242,0.5,12.35347448
6.121364382,0.5,12.24272876
2.909228976,0.5,5.818457952
3.336200154,0.19,17.55894818
0.992302524,0.075,13.23070032
3.996518364,0.5,7.993036728
9.250138512,0.5,18.50027702
6.559948656,0.5,13.11989731
4.680734994,0.5,9.361469988
5.59400796,0.5,11.18801592
4.92634899,0.295,16.6994881
5.74206822,0.355,16.17484006
8.058015108,0.5,16.11603022
2.107851444,0.5,4.215702888
2.996761392,0.5,5.993522784
4.787609706,0.5,9.575219412
4.842190728,0.5,9.684381456
7.51665969,0.5,15.03331938
3.388935618,0.5,6.777871236
0.775610982,0.115,6.744443322
0.875325294,0.105,8.336431371
4.247974422,0.5,8.495948844
4.243120308,0.5,8.486240616
4.232805318,0.5,8.465610636
4.2328053,0.5,8.4656106
4.319880138,0.5,8.639760276
4.337714718,0.5,8.675429436
4.337714736,0.5,8.675429472
4.337714718,0.5,8.675429436
0.834945048,0.095,8.788895242
0.730385856,0.085,8.592774776
4.425447942,0.5,8.850895884
4.46829651,0.5,8.93659302
4.46829651,0.5,8.93659302
4.472611632,0.5,8.945223264
4.49706393,0.5,8.99412786
4.514667732,0.5,9.029335464
4.702438062,0.5,9.404876124
3.720791826,0.4,9.301979565
5.029798806,0.135,37.25776893
7.723556226,0.5,15.44711245
1.074129498,0.86,1.248987788
10.63807225,1,10.63807225
12.40275301,1,12.40275301
10.3888229,1,10.3888229
9.47764575,0.925,10.24610351
4.395174102,0.5,8.790348204
5.860551942,0.665,8.812860063
26.74077262,0.755,35.41824188
7.347569904,1,7.347569904
6.536234538,1,6.536234538
11.5097794,1,11.5097794
12.99538372,1,12.99538372
12.02841479,0.91,13.21803823
9.580273686,0.705,13.58904069
6.878831022,0.5,13.75766204
6.878831004,0.5,13.75766201
11.65232565,0.87,13.39347776
12.38136066,0.91,13.60589084
6.74993412,0.5,13.49986824
6.749934102,0.5,13.4998682
6.749934102,0.5,13.4998682
8.336245392,0.62,13.44555708
6.731842176,0.5,13.46368435
6.72519069,0.5,13.45038138
6.72519069,0.5,13.45038138
11.40478288,0.5,22.80956576
0.306664362,0.005,61.3328724
0.818592408,0.105,7.796118171
3.939144642,0.5,7.878289284
3.93914466,0.5,7.87828932
6.075568278,0.5,12.15113656
7.38498924,0.5,14.76997848
7.384989222,0.5,14.76997844
6.45757155,0.435,14.84499207
3.663762804,0.255,14.36769727
7.209191232,0.5,14.41838246
7.248514194,0.5,14.49702839
7.248514194,0.5,14.49702839
7.102038312,0.5,14.20407662
9.886427208,0.485,20.384386
13.43350033,0.5,26.86700066
11.60616838,0.5,23.21233675
8.103887478,0.475,17.06081574
6.883733016,0.5,13.76746603
5.82203781,0.425,13.69891249
3.611713248,0.465,7.767125265
3.877308846,0.5,7.754617692
5.847395292,0.5,11.69479058
7.216438446,0.5,14.43287689
7.216438428,0.5,14.43287686
7.216438428,0.5,14.43287686
1.014267312,0.015,67.6178208
2.160379026,0.15,14.40252684
7.264253628,0.5,14.52850726
7.163940708,0.5,14.32788142
6.680734398,0.5,13.3614688
7.44968097,0.5,14.89936194
5.28101127,0.375,14.08269672
4.992953184,0.32,15.6029787
7.857401364,0.5,15.71480273
4.155698178,0.5,8.311396356
8.189608608,0.5,16.37921722
8.189608626,0.5,16.37921725
2.853364968,0.19,15.01771036
7.062540804,0.5,14.12508161
7.037549334,0.5,14.07509867
7.06409739,0.5,14.12819478
7.040036772,0.5,14.08007354
3.569240952,0.5,7.138481904
3.98789982,0.26,15.33807623
5.049599598,0.26,19.42153692
14.56674233,0.885,16.45959586
10.68238361,1,10.68238361
17.2945773,1,17.2945773
13.60846656,0.98,13.88619037
6.67644354,0.5,13.35288708
4.12178706,0.31,13.29608729
1.803799908,0.13,13.87538391
7.135881678,0.5,14.27176336
7.209252846,0.5,14.41850569
11.42518511,0.81,14.1051668
18.49872708,1,18.49872708
7.622860464,0.56,13.61225083
6.718581396,0.5,13.43716279
10.73964472,0.5,21.47928944
0.846066798,0.06,14.1011133
1.98964053,0.135,14.738078
7.368193998,0.5,14.736388
7.161401124,0.5,14.32280225
7.145836056,0.5,14.29167211
7.145836056,0.5,14.29167211
5.189092236,0.365,14.21669106
7.651453518,0.49,15.61521126
7.783460982,0.5,15.56692196
20.44903349,0.5,40.89806698
5.85570168,0.5,11.71140336
5.73964965,0.5,11.4792993
2.867599152,0.25,11.47039661
0.91336113,0.055,16.606566
8.195046354,0.5,16.39009271
13.74404987,0.89,15.44275266
14.16688677,1,14.16688677
14.16688677,1,14.16688677
8.27829387,0.945,8.760099333
5.971840398,0.5,11.9436808
5.971840416,0.5,11.94368083
3.967597782,0.27,14.6948066
6.407077716,0.495,12.94359135
9.023715612,0.5,18.04743122
7.750740258,0.5,15.50148052
4.005934506,0.5,8.011869012
5.43672855,0.245,22.19072878
5.031077616,0.355,14.17204962
7.054761564,0.5,14.10952313
4.07123163,0.59,6.900392593
16.02151227,1,16.02151227
14.54187281,1,14.54187281
11.61084778,0.68,17.07477615
15.87088881,0.785,20.21769275
11.68962462,0.79,14.79699319
7.065591732,0.5,14.13118346
7.071692436,0.5,14.14338487
7.035374196,0.5,14.07074839
0.93552453,0.065,14.39268508
3.118936896,0.395,7.896042775
3.941759538,0.5,7.883519076
3.94175952,0.5,7.88351904
3.94175952,0.5,7.88351904
3.94175952,0.5,7.88351904
3.94175952,0.5,7.88351904
13.17226549,0.46,28.63535975
1.24191576,0.115,10.79926748
2.59993062,0.5,5.19986124
8.02277631,0.5,16.04555262
5.291025894,0.5,10.58205179
4.23819108,0.5,8.47638216
5.75778924,0.57,10.10138463
11.88034825,1,11.88034825
8.061948018,0.915,8.810872151
5.179426506,0.5,10.35885301
5.142679632,0.5,10.28535926
5.101127676,0.5,10.20225535
5.101127676,0.5,10.20225535
4.381713342,0.43,10.19003103
5.610348828,0.365,15.37081871
7.768136304,0.5,15.53627261
5.829231834,0.5,11.65846367
9.624460158,0.5,19.24892032
3.30232896,0.5,6.60465792
3.865493916,0.15,25.76995944
1.187870184,0.115,10.32930595
8.026982028,0.5,16.05396406
10.15462901,0.5,20.30925802
5.929210206,0.5,11.85842041
7.246258758,0.5,14.49251752
3.455049816,0.28,12.33946363
0.192689442,0.015,12.8459628
5.681632572,0.5,11.36326514
5.347636056,0.5,10.69527211
5.347636056,0.5,10.69527211
5.347636074,0.5,10.69527215
14.0827698,0.2,70.413849
2.93071518,0.255,11.49300071
5.74008039,0.5,11.48016078
5.741174178,0.5,11.48234836
5.738008068,0.5,11.47601614
3.62377899,0.5,7.24755798
8.008814592,0.5,16.01762918
4.217428602,0.36,11.71507945
10.9399138,0.405,27.01213284
8.272226358,0.5,16.54445272
0.310291614,0.5,0.620583228
2.045264904,0.5,4.090529808
9.375775488,0.79,11.86807024
8.144695926,1,8.144695926
7.826789376,0.875,8.944902144
7.625373804,0.925,8.243647356
8.243799732,1,8.243799732
10.17641412,1,10.17641412
11.90180758,1,11.90180758
8.843722758,1,8.843722758
11.26828906,0.81,13.91146798
3.646218708,0.345,10.56874988
0.092437182,0.015,6.1624788
5.08282731,0.5,10.16565462
5.245734744,0.5,10.49146949
7.402272408,0.67,11.04816777
11.97341986,1,11.97341986
13.12664319,1.16,11.31607172
19.26459416,1.865,10.3295411
26.94519009,1.78,15.13774724
18.01614371,1.5,12.01076248
5.95299771,1.205,4.940247062
13.70478821,1.075,12.7486402
20.10366445,1.5,13.40244296
13.06977516,0.99,13.20179309
7.462996362,0.5,14.92599272
7.462996344,0.5,14.92599269
3.148210944,0.5,6.296421888
1.945308168,0.07,27.79011669
6.886268838,0.34,20.25373188
8.569145988,0.67,12.78977013
12.82437866,1,12.82437866
9.841369536,1,9.841369536
15.34208177,1,15.34208177
9.504670392,1,9.504670392
6.710401098,0.59,11.37356118
6.488753436,0.63,10.29960863
4.767143598,0.5,9.534287196
4.76714358,0.5,9.53428716
4.767143598,0.5,9.534287196
